año,campaña,clasificación,parámetro,ld,lc,unidad,ti001,ti004,ti006,ti008,sf015,si022,si023,vl032,vl033,ca044,ca046,ca047,av053,av054,qu061,qu063,bz078,bz080,en081,en084,bs091,bs092,en ad,ca cu01,ca cu02,ca cu03,ca cu04,ca cu05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Plaguicidas_multiresíduo,Carbosulfan,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Plaguicidas_multiresíduo,Cipermetrina,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,<0.01,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,<0.01,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Plaguicidas_multiresíduo,Ciproconazol,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Plaguicidas_multiresíduo,Cletodim,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Plaguicidas_multiresíduo,Clorantraniliprole,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Plaguicidas_multiresíduo,Clorpirifos_etil,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Plaguicidas_multiresíduo,Clorpirifos_metil,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Invierno,Plaguicidas_organoclorados_persistentes,DDT,-,-,µg_l,-,ND,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,-,ND,ND,ND,ND,ND,ND,ND,ND,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
